eqId,runId,optId,D,OA,TO,xmax,ymax,zmax,tmax,fpSize,addsLup,subsLup,multsLup,divsLup,readsLup,writesLup,ldMats,immediateMats,nThreads,duration (s)
generic,1,orig,2,2,0,512,512,0,16,8,4,0,5,1,8,1,1,1,1,0.029
generic,1,orig,3,2,0,64,64,64,16,8,6,0,7,1,12,1,1,1,1,0.04283
generic,1,orig,1,4,0,2.56e+05,0,0,16,8,4,0,5,1,6,1,1,1,1,0.02988
generic,1,orig,2,4,0,512,512,0,16,8,8,0,9,1,14,1,1,1,1,0.07198
generic,1,orig,3,4,0,64,64,64,16,8,12,0,13,1,22,1,1,1,1,0.1239
generic,1,orig,1,2,1,2.56e+05,0,0,16,8,3,0,4,1,5,1,1,1,1,0.02567
generic,1,orig,2,2,1,512,512,0,16,8,5,0,6,1,9,1,1,1,1,0.02913
generic,1,orig,3,2,1,64,64,64,16,8,7,0,8,1,13,1,1,1,1,0.05031
generic,1,orig,1,4,1,2.56e+05,0,0,16,8,5,0,6,1,7,1,1,1,1,0.02852
generic,1,orig,2,4,1,512,512,0,16,8,9,0,10,1,15,1,1,1,1,0.1188
generic,1,orig,3,4,1,64,64,64,16,8,13,0,14,1,23,1,1,1,1,0.2743
generic,1,orig,1,2,2,2.56e+05,0,0,16,8,4,0,5,1,6,1,1,1,1,0.02519
generic,1,orig,2,2,2,512,512,0,16,8,6,0,7,1,10,1,1,1,1,0.03856
generic,1,orig,3,2,2,64,64,64,16,8,8,0,9,1,14,1,1,1,1,0.07079
generic,1,orig,1,4,2,2.56e+05,0,0,16,8,6,0,7,1,8,1,1,1,1,0.03204
generic,1,orig,2,4,2,512,512,0,16,8,10,0,11,1,16,1,1,1,1,0.1304
generic,1,orig,3,4,2,64,64,64,16,8,14,0,15,1,24,1,1,1,1,0.1372
generic,1,orig,1,2,0,2.56e+05,0,0,16,8,2,0,4,0,1,1,0,1,1,0.01209
generic,1,orig,2,2,0,512,512,0,16,8,4,0,6,0,3,1,0,1,1,0.01808
generic,1,orig,3,2,0,64,64,64,16,8,6,0,8,0,5,1,0,1,1,0.0231
generic,1,orig,1,4,0,2.56e+05,0,0,16,8,4,0,6,0,1,1,0,1,1,0.02349
generic,1,orig,2,4,0,512,512,0,16,8,8,0,10,0,5,1,0,1,1,0.03617
generic,1,orig,3,4,0,64,64,64,16,8,12,0,14,0,9,1,0,1,1,0.05023
generic,1,orig,1,2,1,2.56e+05,0,0,16,8,3,0,5,0,2,1,0,1,1,0.0136
generic,1,orig,2,2,1,512,512,0,16,8,5,0,7,0,4,1,0,1,1,0.01421
generic,1,orig,3,2,1,64,64,64,16,8,7,0,9,0,6,1,0,1,1,0.021
generic,1,orig,1,4,1,2.56e+05,0,0,16,8,5,0,7,0,2,1,0,1,1,0.02531
generic,1,orig,2,4,1,512,512,0,16,8,9,0,11,0,6,1,0,1,1,0.03887
generic,1,orig,3,4,1,64,64,64,16,8,13,0,15,0,10,1,0,1,1,0.05307
generic,1,orig,1,2,2,2.56e+05,0,0,16,8,4,0,6,0,3,1,0,1,1,0.01686
generic,1,orig,2,2,2,512,512,0,16,8,6,0,8,0,5,1,0,1,1,0.02402
generic,1,orig,3,2,2,64,64,64,16,8,8,0,10,0,7,1,0,1,1,0.02401
generic,1,orig,1,4,2,2.56e+05,0,0,16,8,6,0,8,0,3,1,0,1,1,0.02747
generic,1,orig,2,4,2,512,512,0,16,8,10,0,12,0,7,1,0,1,1,0.06424
generic,1,orig,3,4,2,64,64,64,16,8,14,0,16,0,11,1,0,1,1,0.05268
generic,1,orig,1,2,0,2.56e+05,0,0,16,8,2,0,4,0,4,1,1,1,1,0.01293
generic,1,orig,2,2,0,512,512,0,16,8,4,0,6,0,8,1,1,1,1,0.02797
generic,1,orig,3,2,0,64,64,64,16,8,6,0,8,0,12,1,1,1,1,0.04788
generic,1,orig,1,4,0,2.56e+05,0,0,16,8,4,0,6,0,6,1,1,1,1,0.02259
generic,1,orig,2,4,0,512,512,0,16,8,8,0,10,0,14,1,1,1,1,0.08273
generic,1,orig,3,4,0,64,64,64,16,8,12,0,14,0,22,1,1,1,1,0.1213
generic,1,orig,1,2,1,2.56e+05,0,0,16,8,3,0,5,0,5,1,1,1,1,0.01412
generic,1,orig,2,2,1,512,512,0,16,8,5,0,7,0,9,1,1,1,1,0.02548
generic,1,orig,3,2,1,64,64,64,16,8,7,0,9,0,13,1,1,1,1,0.05199
generic,1,orig,1,4,1,2.56e+05,0,0,16,8,5,0,7,0,7,1,1,1,1,0.02336
generic,1,orig,2,4,1,512,512,0,16,8,9,0,11,0,15,1,1,1,1,0.07092
generic,1,orig,3,4,1,64,64,64,16,8,13,0,15,0,23,1,1,1,1,0.2727
generic,1,orig,1,2,2,2.56e+05,0,0,16,8,4,0,6,0,6,1,1,1,1,0.01814
generic,1,orig,2,2,2,512,512,0,16,8,6,0,8,0,10,1,1,1,1,0.05406
generic,1,orig,3,2,2,64,64,64,16,8,8,0,10,0,14,1,1,1,1,0.06737
generic,1,orig,1,4,2,2.56e+05,0,0,16,8,6,0,8,0,8,1,1,1,1,0.02967
generic,1,orig,2,4,2,512,512,0,16,8,10,0,12,0,16,1,1,1,1,0.1319
generic,1,orig,3,4,2,64,64,64,16,8,14,0,16,0,24,1,1,1,1,0.1322
generic,1,orig,1,2,0,2.56e+05,0,0,16,8,2,0,3,4,1,1,0,1,1,0.09956
generic,1,orig,2,2,0,512,512,0,16,8,4,0,5,4,3,1,0,1,1,0.09909
generic,1,orig,3,2,0,64,64,64,16,8,6,0,7,4,5,1,0,1,1,0.09175
generic,1,orig,1,4,0,2.56e+05,0,0,16,8,4,0,5,4,1,1,0,1,1,0.09986
generic,1,orig,2,4,0,512,512,0,16,8,8,0,9,4,5,1,0,1,1,0.1043
generic,1,orig,3,4,0,64,64,64,16,8,12,0,13,4,9,1,0,1,1,0.09011
generic,1,orig,1,2,1,2.56e+05,0,0,16,8,3,0,4,4,2,1,0,1,1,0.09857
generic,1,orig,2,2,1,512,512,0,16,8,5,0,6,4,4,1,0,1,1,0.1
generic,1,orig,3,2,1,64,64,64,16,8,7,0,8,4,6,1,0,1,1,0.09135
generic,1,orig,1,4,1,2.56e+05,0,0,16,8,5,0,6,4,2,1,0,1,1,0.1023
generic,1,orig,2,4,1,512,512,0,16,8,9,0,10,4,6,1,0,1,1,0.1037
generic,1,orig,3,4,1,64,64,64,16,8,13,0,14,4,10,1,0,1,1,0.09074
generic,1,orig,1,2,2,2.56e+05,0,0,16,8,4,0,5,4,3,1,0,1,1,0.09588
generic,1,orig,2,2,2,512,512,0,16,8,6,0,7,4,5,1,0,1,1,0.0972
generic,1,orig,3,2,2,64,64,64,16,8,8,0,9,4,7,1,0,1,1,0.08905
generic,1,orig,1,4,2,2.56e+05,0,0,16,8,6,0,7,4,3,1,0,1,1,0.09626
generic,1,orig,2,4,2,512,512,0,16,8,10,0,11,4,7,1,0,1,1,0.103
generic,1,orig,3,4,2,64,64,64,16,8,14,0,15,4,11,1,0,1,1,0.116
generic,1,orig,1,2,0,2.56e+05,0,0,16,8,2,0,3,4,4,1,1,1,1,0.08853
generic,1,orig,2,2,0,512,512,0,16,8,4,0,5,4,8,1,1,1,1,0.09276
generic,1,orig,3,2,0,64,64,64,16,8,6,0,7,4,12,1,1,1,1,0.08999
generic,1,orig,1,4,0,2.56e+05,0,0,16,8,4,0,5,4,6,1,1,1,1,0.09406
generic,1,orig,2,4,0,512,512,0,16,8,8,0,9,4,14,1,1,1,1,0.09244
generic,1,orig,3,4,0,64,64,64,16,8,12,0,13,4,22,1,1,1,1,0.1489
generic,1,orig,1,2,1,2.56e+05,0,0,16,8,3,0,4,4,5,1,1,1,1,0.0904
generic,1,orig,2,2,1,512,512,0,16,8,5,0,6,4,9,1,1,1,1,0.09668
generic,1,orig,3,2,1,64,64,64,16,8,7,0,8,4,13,1,1,1,1,0.08493
generic,1,orig,1,4,1,2.56e+05,0,0,16,8,5,0,6,4,7,1,1,1,1,0.08909
generic,1,orig,2,4,1,512,512,0,16,8,9,0,10,4,15,1,1,1,1,0.1306
generic,1,orig,3,4,1,64,64,64,16,8,13,0,14,4,23,1,1,1,1,0.1527
generic,1,orig,1,2,2,2.56e+05,0,0,16,8,4,0,5,4,6,1,1,1,1,0.08973
generic,1,orig,2,2,2,512,512,0,16,8,6,0,7,4,10,1,1,1,1,0.09688
generic,1,orig,3,2,2,64,64,64,16,8,8,0,9,4,14,1,1,1,1,0.09554
generic,1,orig,1,4,2,2.56e+05,0,0,16,8,6,0,7,4,8,1,1,1,1,0.09145
generic,1,orig,2,4,2,512,512,0,16,8,10,0,11,4,16,1,1,1,1,0.1459
generic,1,orig,3,4,2,64,64,64,16,8,14,0,15,4,24,1,1,1,1,0.297
