eqId,runId,optId,D,OA,TO,xmax,ymax,zmax,tmax,fpSize,addsLup,subsLup,multsLup,divsLup,readsLup,writesLup,ldMats,immediateMats,nThreads,duration (s)
10,1,1,2,4,0,512,512,0,16,8,8,0,9,1,14,1,1,1,1,0.07198
10,1,1,3,4,0,64,64,64,16,8,12,0,13,1,22,1,1,1,1,0.1239
10,1,1,1,2,1,2.56e+05,0,0,16,8,3,0,4,1,5,1,1,1,1,0.02567
10,1,1,2,2,1,512,512,0,16,8,5,0,6,1,9,1,1,1,1,0.02913
10,1,1,3,2,1,64,64,64,16,8,7,0,8,1,13,1,1,1,1,0.05031
10,1,1,1,4,1,2.56e+05,0,0,16,8,5,0,6,1,7,1,1,1,1,0.02852
10,1,1,2,4,1,512,512,0,16,8,9,0,10,1,15,1,1,1,1,0.1188
10,1,1,3,4,1,64,64,64,16,8,13,0,14,1,23,1,1,1,1,0.2743
10,1,1,1,2,2,2.56e+05,0,0,16,8,4,0,5,1,6,1,1,1,1,0.02519
10,1,1,2,2,2,512,512,0,16,8,6,0,7,1,10,1,1,1,1,0.03856
10,1,1,3,2,2,64,64,64,16,8,8,0,9,1,14,1,1,1,1,0.07079
10,1,1,1,4,2,2.56e+05,0,0,16,8,6,0,7,1,8,1,1,1,1,0.03204
10,1,1,2,4,2,512,512,0,16,8,10,0,11,1,16,1,1,1,1,0.1304
10,1,1,3,4,2,64,64,64,16,8,14,0,15,1,24,1,1,1,1,0.1372
10,1,1,1,2,0,2.56e+05,0,0,16,8,2,0,4,0,1,1,0,1,1,0.01209
10,1,1,2,2,0,512,512,0,16,8,4,0,6,0,3,1,0,1,1,0.01808
10,1,1,3,2,0,64,64,64,16,8,6,0,8,0,5,1,0,1,1,0.0231
10,1,1,1,4,0,2.56e+05,0,0,16,8,4,0,6,0,1,1,0,1,1,0.02349
10,1,1,2,4,0,512,512,0,16,8,8,0,10,0,5,1,0,1,1,0.03617
10,1,1,3,4,0,64,64,64,16,8,12,0,14,0,9,1,0,1,1,0.05023
10,1,1,1,2,1,2.56e+05,0,0,16,8,3,0,5,0,2,1,0,1,1,0.0136
10,1,1,2,2,1,512,512,0,16,8,5,0,7,0,4,1,0,1,1,0.01421
10,1,1,3,2,1,64,64,64,16,8,7,0,9,0,6,1,0,1,1,0.021
10,1,1,1,4,1,2.56e+05,0,0,16,8,5,0,7,0,2,1,0,1,1,0.02531
10,1,1,2,4,1,512,512,0,16,8,9,0,11,0,6,1,0,1,1,0.03887
10,1,1,3,4,1,64,64,64,16,8,13,0,15,0,10,1,0,1,1,0.05307
10,1,1,1,2,2,2.56e+05,0,0,16,8,4,0,6,0,3,1,0,1,1,0.01686
10,1,1,2,2,2,512,512,0,16,8,6,0,8,0,5,1,0,1,1,0.02402
10,1,1,3,2,2,64,64,64,16,8,8,0,10,0,7,1,0,1,1,0.02401
10,1,1,1,4,2,2.56e+05,0,0,16,8,6,0,8,0,3,1,0,1,1,0.02747
10,1,1,2,4,2,512,512,0,16,8,10,0,12,0,7,1,0,1,1,0.06424
10,1,1,3,4,2,64,64,64,16,8,14,0,16,0,11,1,0,1,1,0.05268
10,1,1,1,2,0,2.56e+05,0,0,16,8,2,0,4,0,4,1,1,1,1,0.01293
10,1,1,2,2,0,512,512,0,16,8,4,0,6,0,8,1,1,1,1,0.02797
10,1,1,3,2,0,64,64,64,16,8,6,0,8,0,12,1,1,1,1,0.04788
10,1,1,1,4,0,2.56e+05,0,0,16,8,4,0,6,0,6,1,1,1,1,0.02259
